intervention_id,order_id,merchant_id,intervention_type,action_owner,initiated_by,confidence_score,outcome,executed_at,completed_at
INT00001,ORD023089,M026,verification,delhivery,system,0.3290,successful_delivery,2025-12-15 11:59:12,2025-12-17 02:59:12
INT00002,ORD049442,M076,cod_to_prepaid,merchant,merchant,0.8616,pending,2026-03-27 12:48:52,
INT00003,ORD013428,M043,merchant_confirmation,merchant,system,0.8843,pending,2026-01-20 08:55:08,
INT00004,ORD040160,M086,merchant_confirmation,merchant,system,0.7438,pending,2026-01-03 18:44:10,
INT00005,ORD008680,M016,cod_to_prepaid,merchant,system,1.0000,successful_delivery,2026-01-14 12:53:50,2026-01-15 22:53:50
INT00006,ORD016487,M036,verification,delhivery,system,0.4442,successful_delivery,2026-03-12 12:27:24,2026-03-14 21:27:24
INT00007,ORD042568,M069,cod_to_prepaid_outreach,delhivery,system,0.6390,rto,2025-10-16 16:00:18,2025-10-17 01:00:18
INT00008,ORD026017,M004,cod_to_prepaid,merchant,system,0.5049,successful_delivery,2026-01-14 19:36:21,2026-01-15 21:36:21
INT00009,ORD037923,M087,merchant_confirmation,merchant,system,0.7634,successful_delivery,2025-11-09 14:24:31,2025-11-11 18:24:31
INT00010,ORD042108,M066,merchant_confirmation,merchant,system,0.4021,pending,2026-02-09 23:51:26,
INT00011,ORD037671,M001,cod_to_prepaid_outreach,delhivery,system,0.8269,successful_delivery,2026-01-03 15:19:49,2026-01-05 05:19:49
INT00012,ORD013819,M101,verification,delhivery,system,0.8920,successful_delivery,2025-11-20 10:14:09,2025-11-21 00:14:09
INT00013,ORD000950,M010,merchant_confirmation,merchant,system,0.6204,successful_delivery,2025-12-09 16:14:27,2025-12-10 18:14:27
INT00014,ORD012743,M076,premium_courier,delhivery,system,0.9335,successful_delivery,2026-03-06 00:24:50,2026-03-06 20:24:50
INT00015,ORD028406,M113,verification,delhivery,system,1.0000,successful_delivery,2025-10-14 11:06:04,2025-10-16 17:06:04
INT00016,ORD032625,M017,verification,delhivery,system,0.5618,rto,2026-03-08 08:18:45,2026-03-08 12:18:45
INT00017,ORD011344,M082,verification,delhivery,system,0.9751,rto,2025-12-26 07:41:00,2025-12-27 08:41:00
INT00018,ORD042416,M004,premium_courier,delhivery,system,0.5762,successful_delivery,2025-12-20 15:51:26,2025-12-21 08:51:26
INT00019,ORD015539,M081,merchant_confirmation,merchant,system,0.9042,successful_delivery,2026-03-24 21:23:28,2026-03-25 16:23:28
INT00020,ORD011421,M018,merchant_confirmation,merchant,merchant,0.6274,successful_delivery,2025-11-15 07:45:41,2025-11-16 18:45:41
INT00021,ORD003903,M021,premium_courier,delhivery,system,1.0000,successful_delivery,2025-12-03 07:02:24,2025-12-04 20:02:24
INT00022,ORD041917,M041,cod_to_prepaid,merchant,system,0.7914,pending,2025-12-14 17:46:14,
INT00023,ORD010544,M107,merchant_confirmation,merchant,merchant,0.7129,successful_delivery,2026-03-11 22:57:36,2026-03-12 00:57:36
INT00024,ORD002775,M087,premium_courier,delhivery,system,0.6726,successful_delivery,2025-10-02 22:14:26,2025-10-05 10:14:26
